Location,Days a Week,Hours,Latitude,Longitude
Home,14,225.25,40.4374713,-79.9509415
Posvar Hall,10,45.5,40.4417146,-79.9542408
Brueggers,4,16.5,40.441282,-79.956956
Cathedral,10,22.25,40.4442526,-79.953239
Cost,2,3.25,40.4462994,-79.9650084
Stack'd,2,5,40.4413772,-79.9569887
Chipotle,1,0.25,40.4411466,-79.9580428
Parkview,1,4,40.433275,-79.952702
Semple,1,2,40.4395012,-79.9576632
Welsford,1,1,40.4352266,-79.9552915
Peter's,1,0.75,40.4417824,-79.9574176
Aldi,1,1.25,40.458127,-79.9348768
Study Abroad Office,1,0.25,40.4436495,-79.9545159
Thackery,2,0.25,40.4441659,-79.9574235
Behind VA Hospital,1,1.5,40.4450359,-79.9589211
